nid,id,hd,cr,wc,pd,et,sn,sc,ed,pg,la,cy,lp,td,ct,rf,co,ina,ns,re,ipc,ipd,pub,an
370,Factiva-20210602-1533,"Nick Saban Makes Vaccine Push --- Alabama has called on the state's leading influencer to offer a powerful incentive: full stadiums
   BY
By Louise Radnofsky and Ben Cohen",,"1,254 words",8 May 2021,,The Wall Street Journal,J,,A14,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","With a Covid-19 vaccination rate that ranks among the lowest in the country, Alabama is enlisting someone with experience leading the state to the top of the national rankings: Crimson Tide football coach Nick Saban.

Saban taped a public service announcement this week for the Alabama Department of Public Health urging Alabamians to get vaccinated, the state says. His endorsement comes as demand for the shot lags far behind supply in the state and the federal government is threatening to reallocate doses to places where residents want them more.",,,,aldphe : Alabama Department of Public Health,,gspo : Sports | gamer : American Football | ghea : Health | gimmu : Immunizations | nmajev : Major News Events | ntop : Top Wire News | gsars : Novel Coronaviruses | reqrhc : Suggested Reading   Health Care | gcat : Political/General News | gcold : Respiratory Tract Diseases | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types | ndj : Dow Jones Top Stories | nfact : Factiva Filters | nfce : C&E Exclusion Filter | nrgn : Routine General News | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usal : Alabama | uss : Southern U.S. | usa : United States | namz : North America,NND | SPO,,"Dow Jones & Company, Inc.",Document J000000020210508eh580001u
371,Factiva-20210602-1533,"Pattern of Neglect and Secrecy by ICE Helped Fuel Outbreaks
   BY
By Isabelle Niu and Emily Rhyne",,"1,192 words",8 May 2021,,The New York Times,NYTF,Late Edition - Final,8,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"The Times found a pattern of neglect and secrecy that helped fuel outbreaks both inside and outside ICE detention facilities.

The United States currently has the largest immigration detention system in the world. On any given day, Immigration and Customs Enforcement, or ICE, holds tens of thousands of people in about 200 facilities across the country. And throughout the pandemic, these facilities have become some of the most dangerous places in the United States when it comes to Covid-19 outbreaks.",,,,usice : United States Immigration and Customs Enforcement,,gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | gpris : Prisons/Prisoners | gimm : Human Migration | gcat : Political/General News | gcns : National/Public Security | gcold : Respiratory Tract Diseases | ghea : Health | ghome : Law Enforcement | gmed : Medical Conditions | gpir : Politics/International Relations | gspox : Infectious Diseases,usa : United States | ustx : Texas | uss : Southern U.S. | namz : North America,,Foreign Desk,The New York Times Company,Document NYTF000020210508eh580004z
372,Factiva-20210602-1533,"Greece, Heavily Reliant on Tourism Money, Gambles on Early Reopening
   BY
By Paige McClanahan",,"1,867 words",8 May 2021,,The New York Times,NYTF,Late Edition - Final,5,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"In easing its restrictions, the country, largely dependent on tourist dollars, has jumped ahead of a broader European Union plan to welcome visitors from outside the bloc.

Greece has reopened to many overseas visitors, including from the United States, jumping ahead of most of its European neighbors in restarting tourism, even as the country's hospitals remain full and more than three-quarters of Greeks are still unvaccinated.",,,,euruno : European Union,,gtour : Travel | gcat : Political/General News | glife : Living/Lifestyle,greece : Greece | eurz : Europe | usa : United States | balkz : Balkan States | devgcoz : Emerging Market Countries | eecz : European Union Countries | medz : Mediterranean | namz : North America,,Business/Financial Desk,The New York Times Company,Document NYTF000020210508eh580002w
373,Factiva-20210602-1533,Jousting Joshes generate joy,,156 words,8 May 2021,,The Washington Post,WP,FINAL,A17,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","What a delight to read the April 29 Style article ""He was just Joshing. Then hundreds converged for a pool-noodle duel."" I grinned until my cheeks hurt and felt a buoyancy in my spirit as I read the refreshing, wholesome story of young people with imagination, spirit and heart: All those joshing Joshes raised money for a children's hospital, donated food to a food bank, encouraged mask-wearing and ruled out violence in the Josh Battle Royale.

Equally heartening was the outcome of the battle. The winner, acclaimed by all and hoisted into the air, was 4-year-old Joshua Vinson Jr., ""Little Josh."" It attests to the basically nice and generous character of Little Josh's opponents, who most likely pulled their punches a bit in their pool-noodle duel with the young champ.",,,,,,nedi : Editorials | ncat : Content Types,usa : United States | namz : North America,,Editorial-Opinion,Washington Post,Document WP00000020210508eh580001o
374,Factiva-20210602-1533,"Covid Data Shows U.S. Is 'Turning the Corner,' Fueling a Sense of Hope
   BY
By Julie Bosman and Sarah Mervosh",,"1,840 words",6 May 2021,,The New York Times,NYTF,Late Edition - Final,1,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"Cases and deaths have dipped, and vaccinations make scientists hopeful, even as variants mean the coronavirus is here to stay.

After weeks of coronavirus patients flooding emergency rooms in Michigan, the worst Covid-19 hot spot in the nation, hospitalizations are finally falling.",,,,,,gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | npag : Page One Stories | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | ncat : Content Types,usa : United States | nyc : New York City | namz : North America | use : Northeast U.S. | usny : New York State,,Foreign Desk,The New York Times Company,Document NYTF000020210506eh5600059
375,Factiva-20210602-1533,"Looking to Get Americans Vaccinated? Offer a Cash Reward.
   BY
By Lynn Vavreck",,"1,352 words",5 May 2021,,The New York Times,NYTF,Late Edition - Final,4,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"A cash reward works best with Democrats, and relaxing safety guidelines seems to motivate Republicans, a survey study shows.

What's the best way to persuade the millions of Americans who are still unvaccinated against Covid-19 to get their shots?",,,,,,gimmu : Immunizations | gpol : Domestic Politics | gsars : Novel Coronaviruses | nsur : Surveys/Polls | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gpir : Politics/International Relations | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types,usa : United States | namz : North America,,Business/Financial Desk,The New York Times Company,Document NYTF000020210505eh550004o
376,Factiva-20210602-1533,"Coronavirus Update
   BY
By James Barron",,"1,045 words",5 May 2021,,The New York Times,NYTF,Late Edition - Final,4,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"President Biden set another goal for vaccinations: to inoculate 70 percent of American adults at least partially by the Independence Day holiday.

That is about 15 million more adults than have already received a shot, and the president acknowledged that it might not be easy. The demand for vaccinations has fallen in the last couple of weeks, to a seven-day average of 2.2 million doses a day. For much of April, the average was above 3 million a day.",,,,,,gsars : Novel Coronaviruses | gimmu : Immunizations | gpol : Domestic Politics | gout : Outbreaks/Epidemics | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gpir : Politics/International Relations | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures,usa : United States | namz : North America,,Foreign Desk,The New York Times Company,Document NYTF000020210505eh550003f
377,Factiva-20210602-1533,"Youth Pay a High Price for Covid Protection
   BY
By Charles L. Hooper and David R. Henderson",,"1,104 words",4 May 2021,,The Wall Street Journal,J,,A17,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","Now that the Covid-19 pandemic seems to be abating, it's a good time to look at lessons that observers have, or should have, learned. The list of mistakes is long, but the most glaring was the failure to understand and act on the virus's propensity to attack the old and vulnerable. Policy makers failed, in other words, to understand the enemy.

Some clear thinking based on data that were available last spring would have led to two insights. First, the benefits of protecting the old and vulnerable exceed the costs. Second, the costs of protecting the young and healthy exceed the benefits.",,,,,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | ghea : Health | nedc : Commentaries/Opinions | gcat : Political/General News | gcold : Respiratory Tract Diseases | gmed : Medical Conditions | gspox : Infectious Diseases | ncat : Content Types | nfact : Factiva Filters | nfcpex : C&E Executive News Filter,usa : United States | namz : North America,NND | EDP,,"Dow Jones & Company, Inc.",Document J000000020210504eh540000e
378,Factiva-20210602-1533,"Fire Tucker Carlson before someone dies
   BY
Steven Petrow; Board of Contributors",,874 words,4 May 2021,,USA Today,USAT,,"A.7
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"Fox News is courting death and danger by giving Tucker Carlson a platform to incite strangers to confront and harass mask wearers. I can tell you from personal experience that this can't end well.

Two weeks ago I flew to Miami, where my cardiologist is, for a battery of medical tests because I suffer from cardiovascular disease and am at higher risk than most for a heart attack. Before heading to the hospital, I took off on an early morning walk. Coming from North Carolina, where masks were still required in public, I had mine on. I understood there's no such requirement in Florida, where folks are free to wear -- or not wear -- a mask outdoors.",,,,,,gsars : Novel Coronaviruses | ghara : Harassment | gout : Outbreaks/Epidemics | gcard : Cardiovascular Conditions | gmed : Medical Conditions | nedc : Commentaries/Opinions | gcat : Political/General News | gcold : Respiratory Tract Diseases | gcrim : Crime/Legal Action | ghea : Health | gspox : Infectious Diseases | ncat : Content Types | nfact : Factiva Filters | nfcpex : C&E Executive News Filter,usa : United States | usfl : Florida | namz : North America | uss : Southern U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | Commentary",USA Today Information Network,Document USAT000020210504eh540000t
379,Factiva-20210602-1533,"Covid-shot bonus for Md. state workers
   BY
Rebecca Tan                Lola Fadulu",,"1,277 words",4 May 2021,,The Washington Post,WP,FINAL,B01,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","Maryland is offering $100 to state employees who are fully vaccinated against the coronavirus, an effort to incentivize vaccinations as supply begins to outpace demand in some areas.

To receive the payment, workers must provide proof of their vaccination to their human resource departments and agree to receive booster shots recommended by the Centers for Disease Control and Prevention over the next 18 months.",,,,,i2572 : Vaccines | i257 : Pharmaceuticals | i951 : Health Care/Life Sciences | idrugty : Specialized Drugs/Medications,cwrkpa : Workers Pay | gimmu : Immunizations | gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | reqrhc : Suggested Reading   Health Care | reqrph : Suggested Reading   Pharmaceuticals | c42 : Labor/Personnel | ccat : Corporate/Industrial News | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types | nfact : Factiva Filters | nfcpin : C&E Industry News Filter | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | usmd : Maryland | namz : North America | uss : Southern U.S.,,Local,Washington Post,Document WP00000020210504eh5400016
380,Factiva-20210602-1533,"How Road Racing Is Trying to Return to Some Form of Normal
   BY
By Talya Minsberg",,872 words,3 May 2021,,The New York Times,NYTF,Late Edition - Final,2,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"Runners -- especially distance runners -- know to expect the unexpected. Sure, the forecast on race day could call for an unusual heat wave. Yes, you could find yourself dropping your last remaining energy gel in the final miles of a marathon. And who hasn't found themselves in desperate need of a restroom at an inopportune time?

Race directors are banking on runners' adaptability as they approach the first racing season since the beginning of the pandemic. While this week brought new, relaxed guidance on mask wearing while exercising (to the relief of many runners), races still will not look the way they did in 2019. But they sure will feel a lot more like normal, that is, if you're willing to roll it.",,,,,,gspo : Sports | gmara : Marathon | gathl : Athletics | ncat : Content Types | nfact : Factiva Filters | nfce : C&E Exclusion Filter | nrgn : Routine General News,usa : United States | namz : North America,,Sports Desk,The New York Times Company,Document NYTF000020210503eh5300045
381,Factiva-20210602-1533,"U.S. News: Resilient Strain Can Be Curbed --- Vaccines in U.S. work well against the U.K. variant even though it is highly contagious
   BY
By Brianna Abbott",,797 words,3 May 2021,,The Wall Street Journal,J,,A6,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","The highly contagious U.K. variant of the Covid-19 virus, now the dominant virus strain in the U.S., is making the pandemic harder to control. But it comes with a silver lining: The authorized vaccines work well against it.

The variant, called B.1.1.7, is better able to exploit lapses in mask wearing and social distancing, and requires more people to develop an immune response to slow it down. Yet vaccines from Pfizer Inc. and its partner BioNTech SE, Moderna Inc., and Johnson & Johnson, along with safety precautions, still remain effective, and health authorities say the shots are starting to slow down Covid-19 cases in the U.S.",,,,frdhtc : Fred Hutchinson Cancer Research Center | hwmlcb : BioNTech SE | mdrthu : Moderna Inc | pfiz : Pfizer Inc,i2569 : Biotechnology | i257 : Pharmaceuticals | i372 : Medical Equipment/Supplies | iphmm : Medical/Surgical Materials | iproclth : Safety/Protective Clothing | i2572 : Vaccines | i951 : Health Care/Life Sciences | i453 : Clothing | iclt : Clothing/Textiles | icnp : Consumer Goods | idrugty : Specialized Drugs/Medications | ibioph : Biopharmaceuticals,gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | gimmu : Immunizations | neqac : Equities Asset Class News | nmajev : Major News Events | ntop : Top Wire News | c23 : Research/Development | reqrhc : Suggested Reading   Health Care | reqrph : Suggested Reading   Pharmaceuticals | ccat : Corporate/Industrial News | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types | ndj : Dow Jones Top Stories | nfact : Factiva Filters | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | namz : North America,ABO | AEQI | EWR | SGN | HHS | USG | HCR | NND | USN,,"Dow Jones & Company, Inc.",Document J000000020210503eh530000z
382,Factiva-20210602-1533,"Getting to 150
   BY
By Nicholas St. Fleur and Chloe Williamsand Charlie Wood",,"1,459 words",2 May 2021,,The New York Times,NYTF,Late Edition - Final,49,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"A short look at what's in the longevity pipeline.

0-5 YEARS",,,,,,gcat : Political/General News,usa : United States | namz : North America,,Magazine Desk,The New York Times Company,Document NYTF000020210502eh5200050
383,Factiva-20210602-1533,"TSA extends mask mandate for public transportation in U.S. to September
   BY
Lori Aratani                Michael Laris",,708 words,2 May 2021,,The Washington Post,WP,FINAL,A05,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","The Transportation Security Administration announced Friday that it has extended through Sept. 13 its orders requiring people to wear masks in transportation settings, including at airports, on commercial aircraft, and on buses and trains.

TSA officials said the extension of the mask requirement is consistent with updated policies from the Centers for Disease Control and Prevention. The TSA requirement had been set to expire May 11.",,,,ustsa : Transportation Security Administration | uscdcp : Centers for Disease Control and Prevention,,gvdhs : Department of Homeland/National Security | gtrans : Transport | gcat : Political/General News | gpir : Politics/International Relations | gpol : Domestic Politics | gvbod : Government Bodies | gvexe : Executive Branch,usa : United States | namz : North America,,Local,Washington Post,Document WP00000020210502eh520001g
384,Factiva-20210602-1533,"U.S. Will Limit Travel as Virus Ravages India
   BY
By Noah Weiland and Jim Tankersley",,"1,607 words",1 May 2021,,The New York Times,NYTF,Late Edition - Final,1,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"As they discussed the decision this week, top health officials warned the White House about uncertainty over how vaccines might respond to a homegrown virus variant in India.

WASHINGTON -- The White House, citing guidance from the Centers for Disease Control and Prevention, announced Friday that it would begin restricting travel from India to the United States next week, a major new test of the Biden administration's pandemic response.",,,,,i257 : Pharmaceuticals | i951 : Health Care/Life Sciences,gglobe : Global/World Issues | gimmu : Immunizations | gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | npag : Page One Stories | gtour : Travel | reqrhc : Suggested Reading   Health Care | reqrph : Suggested Reading   Pharmaceuticals | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | glife : Living/Lifestyle | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,india : India | usa : United States | usdc : Washington DC | asiaz : Asia | bric : BRICS Countries | devgcoz : Emerging Market Countries | dvpcoz : Developing Economies | indsubz : Indian Subcontinent | namz : North America | sasiaz : Southern Asia | uss : Southern U.S.,,Foreign Desk,The New York Times Company,Document NYTF000020210501eh510004a
385,Factiva-20210602-1533,"Biden to the nation: 'America is rising anew""
   BY
By JONATHAN LEMIRE and JOSH BOAK, Associated Press",,"1,487 words",29 April 2021,,St. Louis Post-Dispatch,SLMO,Final,A1,English,"Copyright 2021, St. Louis Post-Dispatch.  All Rights Reserved.","WASHINGTON —resident Joe Biden declared Wednesday night in his first address to a joint session of Congress that “merica is rising anew,”nd pointed optimistically to the nation’ emergence from the pandemic as a vital moment to rebuild the U.S. economy and fundamentally transform government roles in American life.

Biden marked his first 100 days in office as the nation pushes out of a menacing mix of crises, making his case before a pared-down gathering of mask-wearing legislators because of pandemic restrictions.",,,,,,gcat : Political/General News | ecat : Economic News | gglobe : Global/World Issues | gout : Outbreaks/Epidemics | gpol : Domestic Politics | gsars : Novel Coronaviruses | gvcng : Legislative Branch | npag : Page One Stories | e11 : Economic Performance/Indicators | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gpir : Politics/International Relations | gspox : Infectious Diseases | gvbod : Government Bodies | ncat : Content Types,usa : United States | namz : North America,,vaccinations and immunizations | novel coronavirus pandemic | #ap | #wire | government and politics | child care costs | family finances | personal finance | business | higher education | education | social affairs | legislature | covid-19 pandemic | coronavirus | infectious diseases | diseases and conditions | health | lung disease | emergency management | personal investing | President Joe Biden administration | U.S. Congress speech | milestone,St. Louis Post-Dispatch,Document SLMO000020210429eh4t001gu
386,Factiva-20210602-1533,"Building trust in shot, one knock at a time
   BY
Nada Hassanein",,"1,484 words",29 April 2021,,USA Today,USAT,,"A.1
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"NEW ORLEANS –hakeitha Young was home on a rainy Saturday morning, cleaning up bits of toast strewn by her 1-year-old, Jalayah, when the knock came.

A nurse in teal scrubs, rain boots and a yellow poncho was on her porch, offering Young an on-the-spot COVID-19 vaccine. Young eagerly agreed, swinging open the door with Jalayah propped on her hip in a unicorn shirt and diaper. Despite her job as a hospital technician, sanitizing medical equipment like IV pumps, the 32-year-old single mom of three said she hadn't yet been offered a shot.",,,,,,gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | ghea : Health | gimmu : Immunizations | gwelf : Welfare/Social Services | npag : Page One Stories | gcat : Political/General News | gcold : Respiratory Tract Diseases | gcom : Society/Community | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types,norle : New Orleans | namz : North America | usa : United States | usla : Louisiana | uss : Southern U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210429eh4t00017
387,Factiva-20210602-1533,"Vaccine-Optional Braves To Play at Full Capacity
   BY
By James Wagner",,"1,095 words",29 April 2021,,The New York Times,NYTF,Late Edition - Final,9,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"More than 40,000 fans will be permitted at the team's games. The Yankees shut out Baltimore and Bryce Harper took a pitch to the face.

The Atlanta Braves announced on Wednesday that they would allow 100 percent capacity crowds beginning May 7. The listed capacity of their home stadium, Truist Park, in suburban Atlanta is 41,084.",,,,atlbrv : Atlanta Braves (team) | blmoro : Baltimore Orioles (team) | nyykee : New York Yankees (team),,gbase : Baseball | gspo : Sports | gimmu : Immunizations | ncolu : Columns | nnam : News Agency Materials | gcat : Political/General News | ghea : Health | gtrea : Medical Treatments/Procedures | ncat : Content Types | nfact : Factiva Filters | nfce : C&E Exclusion Filter | niwe : IWE Filter | nrgn : Routine General News,usga : Georgia (US) | usa : United States | atlnt : Atlanta | usmd : Maryland | namz : North America | uss : Southern U.S.,,Sports Desk,The New York Times Company,Document NYTF000020210429eh4t0004c
388,Factiva-20210602-1533,"Biden, in speech to Congress, offers sweeping agenda and touts democracy
   BY
Matt Viser                Tyler Pager",,"1,734 words",29 April 2021,,The Washington Post,WP,FINAL,A01,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","President Biden on Wednesday night used his first speech to a joint session of Congress to argue for a dramatic expansion of government services, making a plea for sweeping plans to provide universal preschool, free community college and expanded health care and new tax breaks for families - much of it funded for by higher taxes on the wealthiest Americans.

While he also renewed calls for an array of priorities - including immigration changes, gun control and police reform - Biden more broadly portrayed a country that is rapidly emerging from the depths of a global pandemic and has survived events that, in his view, tested American democracy as rarely before.",,,,uscong : United States Congress,,gcat : Political/General News | e211 : Government Budget/Taxation | gimm : Human Migration | gpol : Domestic Politics | gvcng : Legislative Branch | npag : Page One Stories | e21 : Government Finance | ecat : Economic News | gpir : Politics/International Relations | gvbod : Government Bodies | ncat : Content Types,usa : United States | namz : North America,,National-Politics,Washington Post,Document WP00000020210429eh4t00036
389,Factiva-20210602-1533,"Biden, in speech to Congress, touts sweeping plans and says ""America is on the move""
   BY
Matt Viser                Tyler Pager",,"1,261 words",29 April 2021,,The Washington Post,WP,FINAL,A01,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","President Biden on Wednesday night delivered his first speech to a joint session of Congress, aimed at making an impassioned plea for his sweeping plan to provide universal preschool, free community college and other benefits, while raising taxes on the wealthiest Americans.

While also intended to renew calls for an array of priorities - including immigration changes, gun control and police reform - Biden's speech framed an uplifting message that sought to portray a country emerging from the depths of a global pandemic and still grappling with events that, in his view, tested American democracy as rarely before.",,,,,,gcat : Political/General News | e211 : Government Budget/Taxation | gpol : Domestic Politics | gvcng : Legislative Branch | npag : Page One Stories | e21 : Government Finance | ecat : Economic News | gpir : Politics/International Relations | gvbod : Government Bodies | ncat : Content Types,usa : United States | namz : North America,,National-Politics,Washington Post,Document WP00000020210429eh4t0001e
390,Factiva-20210602-1533,"Wait for worker-safety rule frustrates advocates
   BY
Eli Rosenberg",,772 words,29 April 2021,,The Washington Post,WP,FINAL,A22,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","The Biden administration is more than six weeks late on a self-imposed deadline to set a workplace safety standard for the coronavirus, angering labor advocates who had hoped the White House would move quickly to fill a void left by the Trump administration.

President Biden issued an executive order on his second day in office that directed the Labor Department to issue an emergency temporary standard, or ETS, by March 15, if it found one to be necessary.",,,,osha : Occupational Safety and Health Administration | usomab : United States Office of Management and Budget | usdlab : United States Department of Labor,,gcat : Political/General News | gvlbr : Labor Department | gvbod : Government Bodies | gsars : Novel Coronaviruses | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gpir : Politics/International Relations | gpol : Domestic Politics | gspox : Infectious Diseases | gvexe : Executive Branch,usa : United States | usdc : Washington DC | namz : North America | uss : Southern U.S.,,National-Economy,Washington Post,Document WP00000020210429eh4t00017
391,Factiva-20210602-1533,"Skip-gen travel may be hottest trend
   BY
Allison Tibaldi; FamilyVacationistcom",,"1,128 words",28 April 2021,,USA Today,USAT,,"D.4
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"Skip-gen travel, also called gramping, is a growing travel trend of grandparents and grandkids traveling together without the children's parents (so it skips the middle generation).

With pandemic fatigue hitting hard, a skip-gen vacation might be exactly the kind of multigenerational vacation that kids, parents and grandparents all need this year.",,,,,i6651 : Hotels/Motels | i66 : Lodgings/Restaurants/Bars | ilea : Leisure/Arts/Hospitality | i665 : Lodgings | itourm : Tourism,gtour : Travel | gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | reqlea : Suggested Reading   Leisure/Arts | reqrhr : Suggested Reading   Hotels/Restaurants/Casinos | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | glife : Living/Lifestyle | gmed : Medical Conditions | gspox : Infectious Diseases | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | namz : North America,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210428eh4s0000c
392,Factiva-20210602-1533,HIGHLIGHT: Florida,,"2,266 words",28 April 2021,,USA Today,USAT,,"D.5
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"Alabama Montgomery: The state health department on Tuesday recommended resuming Johnson & Johnson COVID-19 vaccines following weekend guidance from federal authorities about a rare side effect in a handful of female recipients.

Alaska Hyder: Gov. Mike Dunleavy has offered vaccines to residents of the small British Columbia town of Stewart in hopes it could lead Canada to ease restrictions between Stewart and Hyder, a tiny Alaska border community a couple of miles away.",,,,,i257 : Pharmaceuticals | i951 : Health Care/Life Sciences,gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | gimmu : Immunizations | greg : Regional Politics | gvbod : Government Bodies | gmed : Medical Conditions | gpol : Domestic Politics | reqrhc : Suggested Reading   Health Care | reqrph : Suggested Reading   Pharmaceuticals | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gpir : Politics/International Relations | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | uss : Southern U.S. | usw : Western U.S. | usak : Alaska | usal : Alabama | usfl : Florida | usga : Georgia (US) | usmn : Minnesota | usms : Mississippi | usnj : New Jersey | usoh : Ohio | usok : Oklahoma | namz : North America | usc : Midwest U.S. | use : Northeast U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210428eh4s0000e
393,Factiva-20210602-1533,"Seeking Common Ground On Extending Education
   BY
By David Leonhardt",,"1,576 words",28 April 2021,,The New York Times,NYTF,Late Edition - Final,16,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"By David Leonhardt

Good morning. President Biden goes before Congress tonight to lay out his agenda.",,,,,,gcat : Political/General News | gpol : Domestic Politics | gpres : Preschool | gvcng : Legislative Branch | gedu : Education | gpir : Politics/International Relations | gvbod : Government Bodies,usa : United States | namz : North America,,National Desk,The New York Times Company,Document NYTF000020210428eh4s0005j
394,Factiva-20210602-1533,"C.D.C. Relaxes Its Rules On Mask Use Outdoors For the Fully Inoculated
   BY
By Sheryl Gay Stolberg and Roni Caryn Rabin",,"1,723 words",28 April 2021,,The New York Times,NYTF,Late Edition - Final,1,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"''Go get the shot,'' President Biden declared Tuesday, hailing an easing of federal guidance on outdoor mask wearing as a step toward post-pandemic normalcy.

WASHINGTON -- The Centers for Disease Control and Prevention took a major step on Tuesday toward coaxing Americans into a post-pandemic world, relaxing the rules on mask wearing outdoors as coronavirus cases recede and people increasingly chafe against restrictions.",,,,uscdcp : Centers for Disease Control and Prevention,,gsars : Novel Coronaviruses | gvbod : Government Bodies | gout : Outbreaks/Epidemics | gcat : Political/General News | gimmu : Immunizations | npag : Page One Stories | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gpir : Politics/International Relations | gpol : Domestic Politics | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types,usa : United States | usdc : Washington DC | namz : North America | uss : Southern U.S.,,Foreign Desk,The New York Times Company,Document NYTF000020210428eh4s00041
395,Factiva-20210602-1533,"It took moving far away for me to appreciate my American home
   BY
Oanh Ngo Usadi",,897 words,28 April 2021,,The Washington Post,WP,FINAL,A23,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","""Xiiiiii, huuuu,"" says our group leader softly. The women standing around me are calm, their eyes closed, breaths in sync. Does ""xi"" mean inhale, or is it exhale? I'm far from feeling Zen inside a nature park in Singapore.

In the summer of 2019, my family and I moved temporarily from our small town in New Jersey to the city-state in Southeast Asia. Being in a new country invariably means homesickness, a familiar feeling from when I immigrated to the United States from Vietnam almost 40 years ago. Inside a Singaporean neighborhood park, I discovered a community and a newfound appreciation of my American home.",,,,,,nedi : Editorials | ncat : Content Types,usa : United States | singp : Singapore | apacz : Asia Pacific | asiaz : Asia | namz : North America | seasiaz : Southeast Asia,,Editorial-Opinion,Washington Post,Document WP00000020210428eh4s00032
